,0,1,2
0,Loretta+Sanchez,Katella High School,"Katella High School is a public high school in Anaheim, California and is part of the Anaheim Union High School District. It serves 2,700 students in grades nine through twelve. The school’s mascot is the Knights."
1,Loretta+Sanchez,Global Strategy Group,"Global Strategy Group is an American public relations and research firm; specializing in research, strategic communications, digital strategy, grassroots and grasstops organizing, marketing and branding. "
2,Kamala+Harris,St. Francis Medical Center,"St. Francis Medical Center is a not-for-profit hospital in Lynwood, California, United States."
3,Kamala+Harris,Westmount High School,"Westmount High School is a public secondary school located at 4350 St. Catherine St. West in Westmount, Quebec, Canada. Westmount High is Quebec's first and only public school to offer Advanced Placement courses.
"
4,Kamala+Harris,Prime Healthcare Services,"Prime Healthcare Services is an American private company. It was established in 2001 by Chairman of the Board Prem Reddy. It operates 45 acute care hospitals serving communities in San Bernardino, San Diego, Los Angeles, Inglewood, Orange County and Shasta County in California, Alabama, Florida, Georgia, Indiana, Michigan, Missouri, Nevada, New Jersey, Ohio, Pennsylvania, Kansas, Rhode Island and Texas. "
5,Ron+Unz,Walter Reed Middle School,"Walter Reed Middle School is located in the Studio City neighborhood of Los Angeles, California, USA. Originally called North Hollywood Junior High School, the school was later renamed in honor of U.S. Army Major Walter Reed.
"
6,Ron+Unz,Moody's Analytics,"Moody's Analytics is a subsidiary of Moody's Corporation established in 2007 to focus on non-rating activities, separate from Moody's Investors Service. "
7,Ron+Unz,North Hollywood High School,"North Hollywood High School is a public high school in North Hollywood in Los Angeles, California. NHHS is located in the San Fernando Valley and enrolls approximately 3,000 students each year. "
8,Ling+Ling+Shi,Citizens' Climate Lobby,Citizens' Climate Lobby is an international grassroots environmental group that trains and supports volunteers to build relationships with their elected representatives in order to influence climate policy. 
9,Richard Shelby,Birmingham School of Law,"The Birmingham School of Law is a state-accredited law school located in Birmingham, Alabama. Founded in 1915 by Judge Hugh A. Locke, a judge of the Chancery Court and president of the Birmingham Bar Association, the Birmingham School of Law offers a part-time program of study in which graduates receive the Juris Doctor degree. "
10,Richard Shelby,Financial Coalition Against Child Pornography,"The Financial Coalition Against Child Pornography is a coalition of credit card issuers and internet services companies that seeks to eliminate commercial child pornography by taking action on the payment systems that are used to fund these illegal operations.
"
11,Richard Shelby,Hueytown High School,"Hueytown High School is a four-year public high school in the Birmingham, Alabama suburb of Hueytown. It is one of fourteen high schools in the Jefferson County School System. "
12,John Martin,John Martin Brewery,"John Martin is the name of a beer brewery in Genval, Belgium, founded in 1909 by English businessman John Martin. A family company, it is currently run by his grandson, Anthony Martin. "
13,John Martin,John Martin &amp; Co.,"John Martin &amp; Co. Ltd, colloquially known as John Martin's or simply Johnnies, was an Adelaide-based company which ran a popular chain of department stores in South Australia. It operated for more than 130 years, from 1866 until its closure in 1998. "
14,John Martin,BAM Nuttall,"BAM Nuttall Limited is a construction and civil engineering company headquartered in Camberley, United Kingdom. It has been involved in a portfolio of road, rail, nuclear, and other major projects worldwide. It is a subsidiary of the Dutch Royal BAM Group."
15,Lisa Murkowski,Humanitarian Law Project,"The Humanitarian Law Project is a U.S.-based non-profit organization, working to protect human rights and promote ""the peaceful resolution of conflict by using established international human rights laws and humanitarian law.""
"
16,Lisa Murkowski,National Organization on Fetal Alcohol Syndrome,The National Organization on Fetal Alcohol Syndrome is a non-profit public health charitable organization focused on the issue of fetal alcohol syndrome and fetal alcohol spectrum disorders. 
17,Lisa Murkowski,US-Taiwan Business Council,"The US-Taiwan Business Council is a membership-based, non-profit organization founded in 1976 to foster trade and business relations between the United States and Taiwan.
"
18,Paul Kendall,Dallas Cowboys,The Dallas Cowboys are a professional American football team based in the Dallas–Fort Worth metroplex. The Cowboys compete in the National Football League as a member club of the league's National Football Conference East division. 
19,Paul Kendall,Hodder Faith,"Hodder &amp; Stoughton was founded in 1868 as a Christian publisher. Today Hodder Faith is an imprint of Hodder &amp; Stoughton, publishing the NIV Bible and a wide range of Christian books. "
20,Paul Kendall,American-Russian Cultural Cooperation Foundation,"The American-Russian Cultural Cooperation Foundation is an American nonprofit focused on the promotion of American-Russian cultural dialogue and cooperation. Founded in 1992 by a group of prominent Americans, including former Missouri Congressman James W. "
