Kamala Harris,"'Kamala Harris',"
Loretta Sanchez,"'Loretta Sanchez',"
Duf Sundheim,"'Duf Sundheim',"
Phil Wyman,"'Phil Wyman',"
Tom Del Beccaro,"'Tom Del Beccaro',"
Greg Conlon,"'Greg Conlon',"
Steve Stokes,"'Steve Stokes',"
George C.Yang,"'George C.Yang',"
Karen Roseberry,"'Karen Roseberry',"
Gail K.Lightfoot,"'Gail K.Lightfoot',"
Massie Munroe,"'Massie Munroe',"
Pamela Elizondo,"'Pamela Elizondo',"
Tom Palzer,"'Tom Palzer',"
Ron Unz,"'Ron Unz',"
Don Krampe,"'Don Krampe',"
Eleanor Garcí_a,"'Eleanor Garcí_a',"
Jarrell Williamson,"'Jarrell Williamson',"
Von Hougo,"'Von Hougo',"
President Cristina Grappo,"'President Cristina Grappo',"
Jerry J.Laws,"'Jerry J.Laws',"
Mark Matthew Herd,"'Mark Matthew Herd',"
John Thompson Parker,"'John Thompson Parker',"
Ling Ling Shi,"'Ling Ling Shi',"
Herbert G.Peters,"'Herbert G.Peters',"
Emory Peretz Rodgers,"'Emory Peretz Rodgers',"
Mike Beitiks,"'Mike Beitiks',"
Clive Grey,"'Clive Grey',"
Jason Hanania,"'Jason Hanania',"
Paul Merritt,"'Paul Merritt',"
Jason Kraus,"'Jason Kraus',"
Don J.Grundmann,"'Don J.Grundmann',"
Scott A.Vineberg,"'Scott A.Vineberg',"
Tim Gildersleeve,"'Tim Gildersleeve',"
Gar Myers,"'Gar Myers',"
Billy Falling,"'Billy Falling',"
Ric M.Llewellyn,"'Ric M.Llewellyn',"
Alexis Stuart,"'Alexis Stuart',"
Richard Shelby,"'Richard Shelby',"
Jonathan McConnell,"'Jonathan McConnell',"
John Martin,"'John Martin',"
Marcus Bowman,"'Marcus Bowman',"
Shadrack McGill,"'Shadrack McGill',"
Ron Crumpton,"'Ron Crumpton',"
Charles Nana,"'Charles Nana',"
Lisa Murkowski,"'Lisa Murkowski',"
Bob Lochner,"'Bob Lochner',"
Paul Kendall,"'Paul Kendall',"
Thomas Lamb,"'Thomas Lamb',"
Ray Metcalfe,"'Ray Metcalfe',"
Edgar Blatchford,"'Edgar Blatchford',"
Cean Stevens,"'Cean Stevens',"
John McCain,"'John McCain',"
Kelli Ward,"'Kelli Ward',"
Alex Meluskey,"'Alex Meluskey',"
Clair Van Steenwyk,"'Clair Van Steenwyk',"
Sean Webster,"'Sean Webster',"
Ann Kirkpatrick,"'Ann Kirkpatrick',"
Alex Bello,"'Alex Bello',"
Gary Swing,"'Gary Swing',"
Merissa Hamilton,"'Merissa Hamilton',"
John Boozman,"'John Boozman',"
Curtis Coleman,"'Curtis Coleman',"
Conner Eldridge,"'Conner Eldridge',"
Michael Bennet (Incumbent) ,"'Michael Bennet (Incumbent) ',"
Darryl Glenn,"'Darryl Glenn',"
Jack Graham,"'Jack Graham',"
Robert Blaha,"'Robert Blaha',"
Jon Keyser,"'Jon Keyser',"
Ryan Frazier,"'Ryan Frazier',"
Richard Blumenthal,"'Richard Blumenthal',"
Dan Carter,"'Dan Carter',"
Richard Lion,"'Richard Lion',"
Jeffery Russell,"'Jeffery Russell',"
Andrew Rule,"'Andrew Rule',"
John M. Traceski ,"'John M. Traceski ',"
Marco Rubio,"'Marco Rubio',"
Carlos Beruff,"'Carlos Beruff',"
Dwight Young,"'Dwight Young',"
Ernie Rivera,"'Ernie Rivera',"
Patrick Murphy,"'Patrick Murphy',"
Alan Grayson,"'Alan Grayson',"
Pam Keith,"'Pam Keith',"
Rocky De La Fuente ,"'Rocky De La Fuente ',"
Reginald Luster,"'Reginald Luster',"
Johnny Isakson,"'Johnny Isakson',"
Derrick Grayson,"'Derrick Grayson',"
Mary Kay,"'Mary Kay',"
Jim Barksdale,"'Jim Barksdale',"
Cheryl Copeland,"'Cheryl Copeland',"
John Coyne,"'John Coyne',"
Brian Schatz,"'Brian Schatz',"
Makani Christensen,"'Makani Christensen',"
Miles Shiratori,"'Miles Shiratori',"
Arturo Reyes,"'Arturo Reyes',"
Tutz Honeychurch,"'Tutz Honeychurch',"
Joy Allison,"'Joy Allison',"
John Giuffre,"'John Giuffre',"
Mike Crapo,"'Mike Crapo',"
Jerry Sturgill,"'Jerry Sturgill',"
Ray J. Writz ,"'Ray J. Writz ',"
Mark Kirk,"'Mark Kirk',"
James T. Marter,"'James T. Marter',"
Tammy Duckworth,"'Tammy Duckworth',"
Andrea Zopp,"'Andrea Zopp',"
Napoleon Harris,"'Napoleon Harris',"
Todd Young ,"'Todd Young ',"
Marlin Stutzman ,"'Marlin Stutzman ',"
Baron Hill ,"'Baron Hill ',"
Chuck Grassley,"'Chuck Grassley',"
Patty Judge,"'Patty Judge',"
Rob Hogg,"'Rob Hogg',"
Tom Fiegen,"'Tom Fiegen',"
Bob Krause,"'Bob Krause',"
Jerry Moran,"'Jerry Moran',"
D.J. Smith,"'D.J. Smith',"
Patrick Wiesner,"'Patrick Wiesner',"
Monique Singh-Bey,"'Monique Singh-Bey',"
Rand Paul,"'Rand Paul',"
James Gould,"'James Gould',"
Stephen Slaughter,"'Stephen Slaughter',"
Jim Gray,"'Jim Gray',"
Sellus Wilder,"'Sellus Wilder',"
Ron Leach,"'Ron Leach',"
Tom Recktenwald,"'Tom Recktenwald',"
